,country,year,value,category,region,directions,capitals,official_language
95,Belgium,1994,124426.885709848,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
96,Belgium,1993,121156.964954729,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
97,Belgium,1992,122217.919518023,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
98,Belgium,1991,123130.652897225,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
99,Belgium,1990,119982.503418506,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North West,Brussels,"Dutch, French, and German"
100,Bulgaria,2014,45139.955286201,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
101,Bulgaria,2013,42534.9272034699,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
102,Bulgaria,2012,48117.5560830313,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
103,Bulgaria,2011,53020.9811161954,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
104,Bulgaria,2010,47678.6489573594,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
105,Bulgaria,2009,45487.8735503956,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
106,Bulgaria,2008,53655.1401671903,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
107,Bulgaria,2007,55184.4241047849,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
108,Bulgaria,2006,51446.2829381283,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
109,Bulgaria,2005,50191.1160644292,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
110,Bulgaria,2004,49170.3376894348,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
111,Bulgaria,2003,49971.1515762142,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
112,Bulgaria,2002,45786.2947197982,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
113,Bulgaria,2001,48568.9178318705,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
114,Bulgaria,2000,44896.670545605,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
115,Bulgaria,1999,45751.789097251,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
116,Bulgaria,1998,52143.3567693638,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
117,Bulgaria,1997,54790.1341566389,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
118,Bulgaria,1996,57581.194759982,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
119,Bulgaria,1995,57221.6062924032,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
120,Bulgaria,1994,55649.0813153431,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
121,Bulgaria,1993,57203.9355176784,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
122,Bulgaria,1992,56551.5935722778,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
123,Bulgaria,1991,59769.3415026104,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
124,Bulgaria,1990,78197.8812570199,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,North,Sofia,Bulgarian
125,Canada,2014,574099.775511611,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
126,Canada,2013,573094.038846396,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
127,Canada,2012,563423.613154917,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
128,Canada,2011,558152.72293811,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
129,Canada,2010,555003.760260925,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,North America,North West,Ottawa,English and French
